category,pct_first,workers_first,pct_last,workers_last,pct_growth,pct_growth_rel,first_date,last_date
Sales and Related Occupations,39.81,5168104.16,68.47,9184867.85,28.66,72.00,MCP + API 2025-04-24,MCP + API 2026-02-18
Educational Instruction and Library Occupations,14.49,1038383.29,41.84,3290851.18,27.35,188.72,MCP + API 2025-04-24,MCP + API 2026-02-18
Legal Occupations,16.75,210571.62,41.33,486290.51,24.58,146.77,MCP + API 2025-04-24,MCP + API 2026-02-18
Business and Financial Operations Occupations,28.88,3043670.92,52.63,5564634.07,23.75,82.22,MCP + API 2025-04-24,MCP + API 2026-02-18
Community and Social Service Occupations,12.51,288350.62,35.36,643981.73,22.85,182.63,MCP + API 2025-04-24,MCP + API 2026-02-18
"Arts, Design, Entertainment, Sports, and Media Occupations",25.89,547538.99,46.83,1104541.60,20.94,80.87,MCP + API 2025-04-24,MCP + API 2026-02-18
Office and Administrative Support Occupations,41.34,8517575.21,62.07,12880563.23,20.73,50.16,MCP + API 2025-04-24,MCP + API 2026-02-18
Management Occupations,23.67,3047642.64,41.71,5525817.49,18.04,76.24,MCP + API 2025-04-24,MCP + API 2026-02-18
"Life, Physical, and Social Science Occupations",20.09,285906.17,38.11,546101.99,18.02,89.67,MCP + API 2025-04-24,MCP + API 2026-02-18
Computer and Mathematical Occupations,57.71,3035853.39,75.01,3822099.27,17.30,29.98,MCP + API 2025-04-24,MCP + API 2026-02-18
Healthcare Practitioners and Technical Occupations,7.68,898868.88,22.53,2791033.69,14.85,193.49,MCP + API 2025-04-24,MCP + API 2026-02-18
Personal Care and Service Occupations,14.16,442954.13,27.91,885052.80,13.75,97.16,MCP + API 2025-04-24,MCP + API 2026-02-18
Protective Service Occupations,12.87,585495.34,26.29,1115671.48,13.41,104.19,MCP + API 2025-04-24,MCP + API 2026-02-18
Architecture and Engineering Occupations,24.91,630469.25,37.96,1005885.32,13.05,52.37,MCP + API 2025-04-24,MCP + API 2026-02-18
Healthcare Support Occupations,11.36,664674.21,23.04,1424859.98,11.68,102.79,MCP + API 2025-04-24,MCP + API 2026-02-18
Food Preparation and Serving Related Occupations,10.96,1553956.78,20.87,2983510.15,9.91,90.39,MCP + API 2025-04-24,MCP + API 2026-02-18
Transportation and Material Moving Occupations,10.19,1893050.71,19.93,3620974.08,9.74,95.65,MCP + API 2025-04-24,MCP + API 2026-02-18
Production Occupations,6.50,556497.07,14.90,1256634.11,8.40,129.21,MCP + API 2025-04-24,MCP + API 2026-02-18
"Installation, Maintenance, and Repair Occupations",7.41,520842.08,14.32,912810.92,6.91,93.18,MCP + API 2025-04-24,MCP + API 2026-02-18
Building and Grounds Cleaning and Maintenance Occupations,8.22,299859.86,15.12,404462.60,6.91,84.04,MCP + API 2025-04-24,MCP + API 2026-02-18
Construction and Extraction Occupations,2.78,175180.51,8.28,871246.20,5.50,198.06,MCP + API 2025-04-24,MCP + API 2026-02-18
"Farming, Fishing, and Forestry Occupations",4.16,14370.51,8.46,35838.16,4.30,103.15,MCP + API 2025-04-24,MCP + API 2026-02-18
