category,pct_first,pct_last,pct_gain,pct_gain_pct
Legal Occupations,22.80,48.28,25.48,111.75
Educational Instruction and Library Occupations,28.81,53.58,24.77,85.97
Sales and Related Occupations,36.75,59.53,22.78,62.00
Computer and Mathematical Occupations,43.40,65.70,22.30,51.38
Business and Financial Operations Occupations,31.37,50.73,19.36,61.70
Office and Administrative Support Occupations,34.50,51.05,16.55,47.97
Community and Social Service Occupations,30.83,47.26,16.44,53.31
Management Occupations,20.44,35.52,15.08,73.79
"Arts, Design, Entertainment, Sports, and Media Occupations",32.52,47.59,15.06,46.31
"Life, Physical, and Social Science Occupations",27.68,41.77,14.09,50.88
Healthcare Support Occupations,11.95,25.10,13.15,110.03
Healthcare Practitioners and Technical Occupations,17.10,29.25,12.14,71.00
Personal Care and Service Occupations,26.45,34.27,7.82,29.58
Building and Grounds Cleaning and Maintenance Occupations,10.88,18.46,7.58,69.67
Protective Service Occupations,26.46,33.27,6.81,25.75
Architecture and Engineering Occupations,33.88,40.43,6.55,19.34
Food Preparation and Serving Related Occupations,29.31,35.56,6.25,21.32
"Installation, Maintenance, and Repair Occupations",20.51,23.91,3.40,16.56
Construction and Extraction Occupations,11.11,13.88,2.77,24.89
Production Occupations,15.75,18.31,2.56,16.23
Transportation and Material Moving Occupations,15.24,17.58,2.34,15.33
"Farming, Fishing, and Forestry Occupations",11.85,13.72,1.87,15.81
