category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,dataset_confirmed,level_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,dataset_ceiling,level_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Documenting/Recording Information,37.30,5908891.11,385865270506.28,AEI Both + Micro 2026-02-12,gwa,67.09,10306887.75,629084782470.76,All 2026-02-18,gwa,29.79,4397996.64,243219511964.48
"Guiding, Directing, and Motivating Subordinates",20.71,3122815.44,274446437134.87,AEI Both + Micro 2026-02-12,gwa,32.61,5459487.88,487945019257.50,All 2026-02-18,gwa,11.90,2336672.44,213498582122.63
Performing Administrative Activities,58.72,3847931.52,170309178377.14,AEI Both + Micro 2026-02-12,gwa,73.15,4952927.72,213618328526.20,All 2026-02-18,gwa,14.44,1104996.20,43309150149.06
Monitoring and Controlling Resources,29.02,2105746.69,118977513627.87,AEI Both + Micro 2026-02-12,gwa,45.46,3164905.28,176071091612.38,All 2026-02-18,gwa,16.44,1059158.59,57093577984.52
"Monitoring Processes, Materials, or Surroundings",21.09,2733415.36,194003207472.58,AEI Both + Micro 2026-02-12,gwa,36.58,3696609.04,254875023437.51,All 2026-02-18,gwa,15.48,963193.67,60871815964.93
Controlling Machines and Processes,12.74,1109826.16,54781730022.36,AEI Both + Micro 2026-02-12,gwa,23.49,1925497.94,91647274588.06,All 2026-02-18,gwa,10.75,815671.77,36865544565.70
Thinking Creatively,47.98,3495589.63,316762462902.68,AEI Both + Micro 2026-02-12,gwa,56.18,4086753.22,370096292009.47,All 2026-02-18,gwa,8.19,591163.59,53333829106.79
Making Decisions and Solving Problems,52.80,3598231.51,261845483142.26,AEI Both + Micro 2026-02-12,gwa,60.34,4176968.69,293219091578.18,All 2026-02-18,gwa,7.54,578737.18,31373608435.92
Analyzing Data or Information,58.05,2777344.08,281314795183.01,AEI Both + Micro 2026-02-12,gwa,68.88,3354907.88,330506933872.98,All 2026-02-18,gwa,10.84,577563.80,49192138689.97
Handling and Moving Objects,18.06,4683901.26,200309690229.32,AEI Both + Micro 2026-02-12,gwa,21.34,5189478.99,221744526314.04,All 2026-02-18,gwa,3.28,505577.73,21434836084.71
Scheduling Work and Activities,44.90,855527.57,40622458677.27,AEI Both + Micro 2026-02-12,gwa,85.28,1353999.59,67771719173.97,All 2026-02-18,gwa,40.38,498472.02,27149260496.69
"Communicating with Supervisors, Peers, or Subordinates",38.16,3429181.05,237436597454.87,AEI Both + Micro 2026-02-12,gwa,44.91,3890272.05,265122441802.94,All 2026-02-18,gwa,6.75,461091.00,27685844348.08
Processing Information,47.25,1930140.27,112000080733.18,AEI Both + Micro 2026-02-12,gwa,57.07,2299673.93,129387032481.53,All 2026-02-18,gwa,9.82,369533.66,17386951748.35
"Judging the Qualities of Objects, Services, or People",37.37,1584433.12,134174777436.17,AEI Both + Micro 2026-02-12,gwa,47.82,1952944.30,166245062519.55,All 2026-02-18,gwa,10.45,368511.18,32070285083.38
Performing General Physical Activities,12.22,2041983.24,83487309160.48,AEI Both + Micro 2026-02-12,gwa,15.22,2395752.03,98460186872.80,All 2026-02-18,gwa,3.00,353768.79,14972877712.32
"Inspecting Equipment, Structures, or Materials",20.91,1536887.89,102202303330.22,AEI Both + Micro 2026-02-12,gwa,26.50,1878580.45,124427049422.25,All 2026-02-18,gwa,5.60,341692.57,22224746092.03
Selling or Influencing Others,44.64,964738.73,53767585709.96,AEI Both + Micro 2026-02-12,gwa,63.29,1298063.98,68838383076.07,All 2026-02-18,gwa,18.65,333325.25,15070797366.10
Working with Computers,69.32,1914502.21,138168663169.84,AEI Both + Micro 2026-02-12,gwa,84.78,2230887.95,160474635710.39,All 2026-02-18,gwa,15.46,316385.75,22305972540.55
"Identifying Objects, Actions, and Events",25.15,412914.78,28676258644.12,AEI Both + Micro 2026-02-12,gwa,50.04,704132.07,41422612342.36,All 2026-02-18,gwa,24.89,291217.29,12746353698.24
Developing Objectives and Strategies,54.75,1291764.79,133943709186.90,AEI Both + Micro 2026-02-12,gwa,64.39,1543263.88,158305952696.88,All 2026-02-18,gwa,9.64,251499.09,24362243509.98
Getting Information,55.23,3955264.60,267384861160.89,AEI Both + Micro 2026-02-12,gwa,59.61,4199179.16,284023920163.47,All 2026-02-18,gwa,4.38,243914.56,16639059002.58
Assisting and Caring for Others,23.45,2950247.95,130452804062.42,AEI Both + Micro 2026-02-12,gwa,26.87,3186081.59,145687419508.13,All 2026-02-18,gwa,3.41,235833.64,15234615445.71
Communicating with People Outside the Organization,69.59,3536571.17,180314728492.45,AEI Both + Micro 2026-02-12,gwa,77.16,3770871.37,189946954206.33,All 2026-02-18,gwa,7.57,234300.19,9632225713.88
Resolving Conflicts and Negotiating with Others,25.40,250279.38,19012378563.22,AEI Both + Micro 2026-02-12,gwa,39.26,463615.61,34972332267.58,All 2026-02-18,gwa,13.86,213336.23,15959953704.35
"Operating Vehicles, Mechanized Devices, or Equipment",1.41,20272.44,1486951738.74,AEI Both + Micro 2026-02-12,gwa,9.36,209159.77,12690894889.69,All 2026-02-18,gwa,7.95,188887.32,11203943150.95
Staffing Organizational Units,36.09,406752.75,32501648258.64,AEI Both + Micro 2026-02-12,gwa,51.28,571319.70,44024910406.99,All 2026-02-18,gwa,15.20,164566.95,11523262148.35
Evaluating Information to Determine Compliance with Standards,37.33,709704.76,43227951461.47,AEI Both + Micro 2026-02-12,gwa,44.30,867275.40,53914198544.65,All 2026-02-18,gwa,6.97,157570.64,10686247083.18
"Estimating the Quantifiable Characteristics of Products, Events, or Information",48.23,1349443.03,69661797014.00,AEI Both + Micro 2026-02-12,gwa,53.27,1493826.33,77725629824.60,All 2026-02-18,gwa,5.04,144383.30,8063832810.60
Repairing and Maintaining Mechanical Equipment,13.49,650618.35,42100732510.77,AEI Both + Micro 2026-02-12,gwa,15.51,726002.42,46577785869.77,All 2026-02-18,gwa,2.02,75384.07,4477053359.01
Interpreting the Meaning of Information for Others,70.00,2636242.86,162033738226.97,AEI Both + Micro 2026-02-12,gwa,72.89,2711530.01,165613911801.25,All 2026-02-18,gwa,2.89,75287.15,3580173574.27
Training and Teaching Others,52.38,2891189.12,177325430532.01,AEI Both + Micro 2026-02-12,gwa,53.32,2945946.86,180146428944.82,All 2026-02-18,gwa,0.94,54757.74,2820998412.80
Performing for or Working Directly with the Public,60.97,2260116.92,117095572019.97,AEI Both + Micro 2026-02-12,gwa,65.35,2305965.40,119621048970.96,All 2026-02-18,gwa,4.38,45848.48,2525476950.99
Providing Consultation and Advice to Others,63.01,3445820.61,285571622445.00,AEI Both + Micro 2026-02-12,gwa,63.59,3489408.01,289946568030.56,All 2026-02-18,gwa,0.57,43587.40,4374945585.56
"Organizing, Planning, and Prioritizing Work",56.21,431135.85,30398183377.00,AEI Both + Micro 2026-02-12,gwa,58.54,465780.44,33436639616.09,All 2026-02-18,gwa,2.33,34644.59,3038456239.09
Updating and Using Relevant Knowledge,72.04,1039293.44,81492302478.81,AEI Both + Micro 2026-02-12,gwa,73.06,1048858.61,82332064551.63,All 2026-02-18,gwa,1.02,9565.17,839762072.82
Establishing and Maintaining Interpersonal Relationships,59.56,139140.71,12150553554.34,AEI Both + Micro 2026-02-12,gwa,62.84,146767.89,12782608888.48,All 2026-02-18,gwa,3.28,7627.17,632055334.14
Coaching and Developing Others,51.67,306797.33,20469126501.38,AEI Both + Micro 2026-02-12,gwa,51.67,306797.33,20469126501.38,All 2026-02-18,gwa,0.00,0.00,0.00
