category,wages_affected_gap,workers_affected_gap,wages_norm,workers_norm,combined_score
Management Occupations,201922727473.35,1821072.97,1.00,0.71,0.85
Office and Administrative Support Occupations,123987704767.39,2581207.63,0.61,1.00,0.81
Transportation and Material Moving Occupations,104907801446.72,2403213.41,0.52,0.93,0.73
Sales and Related Occupations,100636391445.30,2138029.25,0.50,0.83,0.66
Business and Financial Operations Occupations,88753075641.68,1073175.92,0.44,0.42,0.43
Computer and Mathematical Occupations,70346013440.17,651962.98,0.35,0.25,0.30
Healthcare Practitioners and Technical Occupations,49077884537.44,548028.14,0.24,0.21,0.23
Food Preparation and Serving Related Occupations,28486965289.94,803662.54,0.14,0.31,0.23
Production Occupations,34257149962.23,697673.15,0.17,0.27,0.22
Educational Instruction and Library Occupations,31941453410.85,573366.87,0.16,0.22,0.19
"Installation, Maintenance, and Repair Occupations",21712199721.90,376280.25,0.11,0.15,0.13
Protective Service Occupations,17470737224.51,280682.24,0.09,0.11,0.10
Architecture and Engineering Occupations,20421821060.46,221037.55,0.10,0.09,0.09
Healthcare Support Occupations,12318446060.55,308072.09,0.06,0.12,0.09
Building and Grounds Cleaning and Maintenance Occupations,11657698466.74,303489.01,0.06,0.12,0.09
Personal Care and Service Occupations,10867138512.64,293233.40,0.05,0.11,0.08
"Life, Physical, and Social Science Occupations",13160150081.98,166197.88,0.07,0.06,0.06
"Arts, Design, Entertainment, Sports, and Media Occupations",10292167962.95,172512.49,0.05,0.07,0.06
Construction and Extraction Occupations,10719644562.69,165325.23,0.05,0.06,0.06
Legal Occupations,9775222059.98,97692.65,0.05,0.04,0.04
Community and Social Service Occupations,7024036533.29,123743.30,0.03,0.05,0.04
"Farming, Fishing, and Forestry Occupations",1009901852.21,24841.05,0.01,0.01,0.01
