category,pct_human_conv,pct_microsoft,pct_mcp
Analyzing Data or Information,50.47,39.24,43.63
Assisting and Caring for Others,20.29,14.21,9.88
Coaching and Developing Others,48.04,40.57,5.61
Communicating with People Outside the Organization,64.06,57.32,58.83
"Communicating with Supervisors, Peers, or Subordinates",35.39,26.35,19.47
Controlling Machines and Processes,11.70,4.51,17.64
Developing Objectives and Strategies,48.89,32.74,34.34
Documenting/Recording Information,29.58,11.45,53.21
Establishing and Maintaining Interpersonal Relationships,55.98,45.18,38.89
"Estimating the Quantifiable Characteristics of Products, Events, or Information",47.58,42.10,23.14
Evaluating Information to Determine Compliance with Standards,34.51,23.89,29.86
Getting Information,48.79,39.88,24.58
"Guiding, Directing, and Motivating Subordinates",16.93,0.00,18.05
Handling and Moving Objects,17.23,12.96,5.58
"Identifying Objects, Actions, and Events",20.49,12.89,40.17
"Inspecting Equipment, Structures, or Materials",18.92,11.40,10.29
Interpreting the Meaning of Information for Others,61.57,57.05,34.73
"Judging the Qualities of Objects, Services, or People",33.28,8.32,29.08
Making Decisions and Solving Problems,49.24,40.91,29.79
"Monitoring Processes, Materials, or Surroundings",17.41,7.23,21.78
Monitoring and Controlling Resources,26.94,15.87,29.74
"Operating Vehicles, Mechanized Devices, or Equipment",1.41,0.00,7.83
"Organizing, Planning, and Prioritizing Work",55.68,51.62,34.42
Performing Administrative Activities,54.98,45.73,61.75
Performing General Physical Activities,11.46,7.48,4.70
Performing for or Working Directly with the Public,56.24,48.32,42.97
Processing Information,44.06,34.89,40.73
Providing Consultation and Advice to Others,55.55,48.93,22.04
Repairing and Maintaining Mechanical Equipment,12.97,6.56,4.76
Resolving Conflicts and Negotiating with Others,20.28,0.00,21.87
Scheduling Work and Activities,27.66,0.00,82.45
Selling or Influencing Others,36.95,25.35,46.05
Staffing Organizational Units,28.91,0.00,32.50
Thinking Creatively,43.70,21.84,34.68
Training and Teaching Others,48.47,44.54,9.59
Updating and Using Relevant Knowledge,58.75,55.18,23.47
Working with Computers,62.61,50.97,78.39
